"codigo_comuna";"year";"month";"Mortality_Count";"pop75";"mortality";"codigo_region";"codigo_provincia";"pop_pm25";"total_pop";"pm25_exposure";"pm25Exp_10ug";"quarter";"region";"commune";"quarter_text"
13122;"2019";"6";55;9479;5.80229982065619;13;131;8196133.5184521;236863;34.6028443380861;3.46028443380861;"2";"13";"13122";"Fall"
13122;"2019";"7";57;9479;6.01329254140732;13;131;10717159.0220123;236863;45.246235258408;4.5246235258408;"3";"13";"13122";"Winter"
13122;"2019";"8";59;9479;6.22428526215846;13;131;8293949.30146713;236863;35.0158078782551;3.50158078782551;"3";"13";"13122";"Winter"
13122;"2019";"9";51;9479;5.38031437915392;13;131;4544977.42539999;236863;19.1882118583316;1.91882118583316;"3";"13";"13122";"Winter"
13122;"2019";"10";47;9479;4.95832893765165;13;131;3471919.81152518;236863;14.657923827382;1.4657923827382;"4";"13";"13122";"Spring"
13122;"2019";"11";33;9479;3.48137989239371;13;131;3432601.67995147;236863;14.4919285829846;1.44919285829846;"4";"13";"13122";"Spring"
13122;"2019";"12";61;9479;6.43527798290959;13;131;3412150.61013101;236863;14.4055872387457;1.44055872387457;"4";"13";"13122";"Spring"
13123;"2015";"1";52;11195;4.64493077266637;13;131;2577894.73656592;139876;18.4298574206148;1.84298574206148;"1";"13";"13123";"Summer"
13123;"2015";"2";56;11195;5.00223313979455;13;131;2639981.47631196;139876;18.8737272749575;1.88737272749575;"1";"13";"13123";"Summer"
13123;"2015";"3";65;11195;5.80616346583296;13;131;2984379.375349;139876;21.3358930434742;2.13358930434742;"1";"13";"13123";"Summer"
13123;"2015";"4";55;11195;4.91290754801251;13;131;4416866.23914423;139876;31.5770127766324;3.15770127766324;"2";"13";"13123";"Fall"
13123;"2015";"5";73;11195;6.52076820008933;13;131;5109655.63308663;139876;36.529895286444;3.6529895286444;"2";"13";"13123";"Fall"
13123;"2015";"6";83;11195;7.41402411790978;13;131;5960343.95339948;139876;42.6116271082922;4.26116271082922;"2";"13";"13123";"Fall"
13123;"2015";"7";79;11195;7.0567217507816;13;131;5680984.81599736;139876;40.6144357573663;4.06144357573663;"3";"13";"13123";"Winter"
13123;"2015";"8";95;11195;8.48593121929433;13;131;4974975.20856531;139876;35.5670394389696;3.55670394389696;"3";"13";"13123";"Winter"
13123;"2015";"9";67;11195;5.98481464939705;13;131;3148865.6564236;139876;22.5118366011582;2.25118366011582;"3";"13";"13123";"Winter"
