CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
5501,2017,1,76
5501,2017,2,76
5501,2017,3,104
5501,2017,4,81
5501,2018,1,68
5501,2018,2,86
5501,2018,3,114
5501,2018,4,85
5501,2019,1,77
5501,2019,2,120
5501,2019,3,123
5501,2019,4,105
5502,2015,1,35
5502,2015,2,54
5502,2015,3,49
5502,2015,4,50
5502,2016,1,45
5502,2016,2,36
5502,2016,3,63
5502,2016,4,44
5502,2017,1,48
5502,2017,2,62
5502,2017,3,68
5502,2017,4,39
5502,2018,1,42
5502,2018,2,49
5502,2018,3,59
5502,2018,4,43
5502,2019,1,45
5502,2019,2,54
5502,2019,3,63
5502,2019,4,39
5503,2015,1,13
5503,2015,2,19
5503,2015,3,17
5503,2015,4,13
5503,2016,1,8
5503,2016,2,16
5503,2016,3,16
5503,2016,4,9
5503,2017,1,9
5503,2017,2,15
5503,2017,3,14
5503,2017,4,13
5503,2018,1,11
5503,2018,2,16
5503,2018,3,12
5503,2018,4,11
5503,2019,1,13
5503,2019,2,21
5503,2019,3,17
5503,2019,4,20
5504,2015,1,10
5504,2015,2,15
5504,2015,3,22
5504,2015,4,19
5504,2016,1,7
5504,2016,2,20
5504,2016,3,19
5504,2016,4,11
5504,2017,1,13
5504,2017,2,20
5504,2017,3,10
5504,2017,4,14
5504,2018,1,16
5504,2018,2,8
5504,2018,3,23
5504,2018,4,17
5504,2019,1,13
5504,2019,2,23
5504,2019,3,14
5504,2019,4,13
5506,2015,1,14
5506,2015,2,11
5506,2015,3,27
5506,2015,4,16
5506,2016,1,18
5506,2016,2,25
5506,2016,3,28
5506,2016,4,16
5506,2017,1,19
5506,2017,2,23
5506,2017,3,25
5506,2017,4,19
5506,2018,1,16
5506,2018,2,26
5506,2018,3,20
5506,2018,4,16
5506,2019,1,11
5506,2019,2,17
5506,2019,3,31
5506,2019,4,33
5601,2015,1,73
5601,2015,2,95
5601,2015,3,100
5601,2015,4,74
5601,2016,1,71
5601,2016,2,88
5601,2016,3,94
5601,2016,4,77
5601,2017,1,61
5601,2017,2,96
5601,2017,3,113
5601,2017,4,73
5601,2018,1,77
5601,2018,2,97
5601,2018,3,120
5601,2018,4,84
5601,2019,1,86
5601,2019,2,91
5601,2019,3,110
5601,2019,4,81
5602,2015,1,7
5602,2015,2,12
5602,2015,3,14
5602,2015,4,13
5602,2016,1,7
5602,2016,2,10
5602,2016,3,7
5602,2016,4,9
5602,2017,1,10
5602,2017,2,11
5602,2017,3,11
5602,2017,4,10
5602,2018,1,10
5602,2018,2,10
5602,2018,3,17
5602,2018,4,16
5602,2019,1,11
5602,2019,2,17
5602,2019,3,12
5602,2019,4,14
5603,2015,1,17
5603,2015,2,22
5603,2015,3,17
5603,2015,4,17
5603,2016,1,21
5603,2016,2,31
5603,2016,3,16
5603,2016,4,7
5603,2017,1,17
5603,2017,2,20
5603,2017,3,14
5603,2017,4,11
5603,2018,1,22
5603,2018,2,19
5603,2018,3,22
5603,2018,4,19
5603,2019,1,21
5603,2019,2,20
5603,2019,3,22
5603,2019,4,24
5604,2015,1,9
5604,2015,2,15
5604,2015,3,13
5604,2015,4,9
5604,2016,1,13
5604,2016,2,13
5604,2016,3,14
5604,2016,4,7
5604,2017,1,6
5604,2017,2,14
5604,2017,3,18
5604,2017,4,11
5604,2018,1,17
5604,2018,2,14
5604,2018,3,16
5604,2018,4,16
5604,2019,1,14
5604,2019,2,24
5604,2019,3,15
5604,2019,4,17
5605,2015,1,5
5605,2015,2,9
5605,2015,3,5
5605,2015,4,9
5605,2016,1,5
5605,2016,2,9
5605,2016,3,16
5605,2016,4,7
5605,2017,1,5
5605,2017,2,9
5605,2017,3,11
5605,2017,4,15
5605,2018,1,9
5605,2018,2,11
5605,2018,3,14
5605,2018,4,8
5605,2019,1,16
5605,2019,2,11
5605,2019,3,10
5605,2019,4,19
5606,2015,1,5
5606,2015,2,6
5606,2015,3,5
5606,2015,4,6
5606,2016,1,7
5606,2016,2,8
5606,2016,3,5
5606,2016,4,11
5606,2017,1,6
5606,2017,2,14
5606,2017,3,16
5606,2017,4,6
5606,2018,1,7
5606,2018,2,7
5606,2018,3,7
5606,2018,4,10
5606,2019,1,7
5606,2019,2,10
5606,2019,3,15
5606,2019,4,6
5701,2015,1,54
5701,2015,2,60
5701,2015,3,76
5701,2015,4,75
5701,2016,1,45
5701,2016,2,81
5701,2016,3,77
5701,2016,4,63
5701,2017,1,54
5701,2017,2,65
5701,2017,3,82
5701,2017,4,63
5701,2018,1,36
5701,2018,2,66
5701,2018,3,90
5701,2018,4,71
5701,2019,1,58
5701,2019,2,75
5701,2019,3,70
5701,2019,4,86
5702,2015,1,12
5702,2015,2,11
5702,2015,3,9
5702,2015,4,12
5702,2016,1,10
