"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness"
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;5;"mp2.5";17.855964516129;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;6;"mp2.5";21.2186620689655;29;93.5483870967742
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;7;"mp2.5";19.4075843333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;8;"mp2.5";20.5409751612903;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;9;"mp2.5";15.4421736666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;10;"mp2.5";12.0668573076923;26;83.8709677419355
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;11;"mp2.5";11.1153706666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;12;"mp2.5";10.3945641935484;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;1;"mp2.5";11.5971038709677;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;2;"mp2.5";10.4666367857143;28;90.3225806451613
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;3;"mp2.5";11.8870167857143;28;90.3225806451613
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;4;"mp2.5";14.2710043333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;5;"mp2.5";16.258064516129;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;6;"mp2.5";15.9333333333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;7;"mp2.5";21.9354838709677;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;8;"mp2.5";18.1034482758621;29;93.5483870967742
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;9;"mp2.5";14.5333333333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;10;"mp2.5";14.5666666666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;11;"mp2.5";11.2333333333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;12;"mp2.5";10.2258064516129;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;1;"mp2.5";10.0357142857143;28;90.3225806451613
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;2;"mp2.5";10.3571428571429;28;90.3225806451613
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;3;"mp2.5";11.8387096774194;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;4;"mp2.5";14.2;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;5;"mp2.5";22.8666666666667;30;96.7741935483871
