"site";"latitude";"longitude";"pm25_satellite";"year";"month"
"U.C. Maule";-35.4357717479047;-71.6194679090692;21.6355650757386;"2015";"08"
"U.C. Maule";-35.4357717479047;-71.6194679090692;17.3532484858011;"2015";"09"
"U.C. Maule";-35.4357717479047;-71.6194679090692;10.1489738836734;"2015";"10"
"U.C. Maule";-35.4357717479047;-71.6194679090692;7.4140586097528;"2015";"11"
"U.C. Maule";-35.4357717479047;-71.6194679090692;9.7209699100292;"2015";"12"
"U.C. Maule";-35.4357717479047;-71.6194679090692;11.5075414132548;"2016";"01"
"U.C. Maule";-35.4357717479047;-71.6194679090692;10.0013373135786;"2016";"02"
"U.C. Maule";-35.4357717479047;-71.6194679090692;15.5954225367559;"2016";"03"
"U.C. Maule";-35.4357717479047;-71.6194679090692;21.8121343235553;"2016";"04"
"U.C. Maule";-35.4357717479047;-71.6194679090692;34.688510485981;"2016";"05"
"U.C. Maule";-35.4357717479047;-71.6194679090692;37.2606957173011;"2016";"06"
"U.C. Maule";-35.4357717479047;-71.6194679090692;31.344697926828;"2016";"07"
"U.C. Maule";-35.4357717479047;-71.6194679090692;25.8590108213092;"2016";"08"
"U.C. Maule";-35.4357717479047;-71.6194679090692;18.1971277674215;"2016";"09"
"U.C. Maule";-35.4357717479047;-71.6194679090692;9.75324901723358;"2016";"10"
"U.C. Maule";-35.4357717479047;-71.6194679090692;8.10855089967068;"2016";"11"
"U.C. Maule";-35.4357717479047;-71.6194679090692;9.84269289492746;"2016";"12"
"U.C. Maule";-35.4357717479047;-71.6194679090692;15.0987274511489;"2017";"01"
"U.C. Maule";-35.4357717479047;-71.6194679090692;11.428981862463;"2017";"02"
"U.C. Maule";-35.4357717479047;-71.6194679090692;12.0517802289231;"2017";"03"
"U.C. Maule";-35.4357717479047;-71.6194679090692;18.0423036531422;"2017";"04"
"U.C. Maule";-35.4357717479047;-71.6194679090692;25.6804333724223;"2017";"05"
"U.C. Maule";-35.4357717479047;-71.6194679090692;29.4062155276955;"2017";"06"
"U.C. Maule";-35.4357717479047;-71.6194679090692;28.2034562765167;"2017";"07"
"U.C. Maule";-35.4357717479047;-71.6194679090692;22.8929820745854;"2017";"08"
"U.C. Maule";-35.4357717479047;-71.6194679090692;15.7685402890889;"2017";"09"
"U.C. Maule";-35.4357717479047;-71.6194679090692;9.287994093047;"2017";"10"
"U.C. Maule";-35.4357717479047;-71.6194679090692;7.19432166364208;"2017";"11"
"U.C. Maule";-35.4357717479047;-71.6194679090692;7.8971750832918;"2017";"12"
"U.C. Maule";-35.4357717479047;-71.6194679090692;10.0496042564899;"2018";"01"
"U.C. Maule";-35.4357717479047;-71.6194679090692;8.44972789111561;"2018";"02"
"U.C. Maule";-35.4357717479047;-71.6194679090692;9.19935052240218;"2018";"03"
"U.C. Maule";-35.4357717479047;-71.6194679090692;19.9762691625465;"2018";"04"
"U.C. Maule";-35.4357717479047;-71.6194679090692;29.0511967242347;"2018";"05"
"U.C. Maule";-35.4357717479047;-71.6194679090692;36.8446987793846;"2018";"06"
"U.C. Maule";-35.4357717479047;-71.6194679090692;29.9489735877843;"2018";"07"
"U.C. Maule";-35.4357717479047;-71.6194679090692;30.8907339379914;"2018";"08"
"U.C. Maule";-35.4357717479047;-71.6194679090692;15.3446984542241;"2018";"09"
"U.C. Maule";-35.4357717479047;-71.6194679090692;8.49572472051348;"2018";"10"
"U.C. Maule";-35.4357717479047;-71.6194679090692;5.74206263602276;"2018";"11"
"U.C. Maule";-35.4357717479047;-71.6194679090692;7.75305985559901;"2018";"12"
"U.C. Maule";-35.4357717479047;-71.6194679090692;10.5166285446619;"2019";"01"
"U.C. Maule";-35.4357717479047;-71.6194679090692;12.24065723457;"2019";"02"
"U.C. Maule";-35.4357717479047;-71.6194679090692;12.4990671067648;"2019";"03"
"U.C. Maule";-35.4357717479047;-71.6194679090692;25.0687623308759;"2019";"04"
"U.C. Maule";-35.4357717479047;-71.6194679090692;28.4487372584006;"2019";"05"
