"region";"province";"commune";"site";"longitude";"latitude";"year";"pollutant";"value";"n";"completeness"
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2015;"mp2.5";16.7744281868132;364;99.7260273972603
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2016;"mp2.5";15.1986584927536;345;94.5205479452055
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2017;"mp2.5";14.4666389606742;356;97.5342465753425
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2018;"mp2.5";14.6381766381766;351;96.1643835616438
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2019;"mp2.5";13.7645429362881;361;98.9041095890411
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2020;"mp2.5";12.9108635097493;359;98.3561643835616
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2021;"mp2.5";14.2463768115942;345;94.5205479452055
"V";"Valparaíso";"Valparaíso";"Valparaiso";-71.6142353875432;-33.0495365969399;2022;"mp2.5";13.825;360;98.6301369863014
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2016;"mp2.5";20.2217101246106;321;87.9452054794521
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2017;"mp2.5";12.0510550143266;349;95.6164383561644
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2018;"mp2.5";12.5810055865922;358;98.0821917808219
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2019;"mp2.5";14.1114285714286;350;95.8904109589041
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2020;"mp2.5";12.4529914529915;351;96.1643835616438
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2021;"mp2.5";14.5014326647564;349;95.6164383561644
"V";"Valparaíso";"Viña del Mar";"Viña del Mar";-71.5500974315639;-33.0203346362397;2022;"mp2.5";13.2991452991453;351;96.1643835616438
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2015;"mp2.5";24.245845821727;359;98.3561643835616
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2016;"mp2.5";24.3991773463687;358;98.0821917808219
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2017;"mp2.5";23.585051971831;355;97.2602739726027
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2018;"mp2.5";21.7344632768362;354;96.986301369863
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2019;"mp2.5";24.7698863636364;352;96.4383561643836
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2020;"mp2.5";23.1718309859155;355;97.2602739726027
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2021;"mp2.5";26.2796610169492;354;96.986301369863
"VI";"Cachapoal";"Rancagua";"Rancagua I";-70.7139314127525;-34.1622833239376;2022;"mp2.5";24.991452991453;351;96.1643835616438
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2015;"mp2.5";33.524174;300;82.1917808219178
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2016;"mp2.5";31.0290797435897;351;96.1643835616438
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2017;"mp2.5";25.8956863483146;356;97.5342465753425
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2018;"mp2.5";28.5254237288136;354;96.986301369863
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2019;"mp2.5";26.9971671388102;353;96.7123287671233
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2020;"mp2.5";25.2395543175487;359;98.3561643835616
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2021;"mp2.5";25.1746478873239;355;97.2602739726027
"VI";"Cachapoal";"Rancagua";"Rancagua II";-70.7371261564243;-34.1438867851583;2022;"mp2.5";29.5925925925926;351;96.1643835616438
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2017;"mp2.5";21.4474367329545;352;96.4383561643836
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2018;"mp2.5";21.6534090909091;352;96.4383561643836
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2019;"mp2.5";23.8132183908046;348;95.3424657534246
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2020;"mp2.5";21.8547008547009;351;96.1643835616438
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2021;"mp2.5";19.0254237288136;354;96.986301369863
"VI";"Cachapoal";"Rengo";"Rengo";-70.8529869591204;-34.394527035524;2022;"mp2.5";22.0880681818182;352;96.4383561643836
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2017;"mp2.5";21.7661807894737;342;93.6986301369863
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2018;"mp2.5";17.7976878612717;346;94.7945205479452
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2019;"mp2.5";20.4875346260388;361;98.9041095890411
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2020;"mp2.5";20.0854700854701;351;96.1643835616438
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2021;"mp2.5";22.9602272727273;352;96.4383561643836
"VI";"Colchagua";"San Fernando";"San Fernando";-70.9896709012778;-34.5798816256345;2022;"mp2.5";22.9220055710306;359;98.3561643835616
"VII";"Cauquenes";"Cauquenes";"Cauquenes Sivica";-72.3170153395423;-35.9645065895232;2021;"mp2.5";21.1899641577061;279;76.4383561643836
"VII";"Cauquenes";"Cauquenes";"Cauquenes Sivica";-72.3170153395423;-35.9645065895232;2022;"mp2.5";16.1309192200557;359;98.3561643835616
"VII";"Curicó";"Curicó";"Curicó";-71.2339541819121;-34.9749435787699;2015;"mp2.5";25.0000656707317;328;89.8630136986301
"VII";"Curicó";"Curicó";"Curicó";-71.2339541819121;-34.9749435787699;2016;"mp2.5";28.4626548587571;354;96.986301369863
"VII";"Curicó";"Curicó";"Curicó";-71.2339541819121;-34.9749435787699;2017;"mp2.5";24.7724352908587;361;98.9041095890411
