"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness";"pm25_satellite"
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;4;"mp2.5";10.9;30;96.7741935483871;16.5403859011157
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;5;"mp2.5";12.8387096774194;31;100;19.4838943192281
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;6;"mp2.5";12.2413793103448;29;93.5483870967742;19.8227143098705
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;7;"mp2.5";13.7096774193548;31;100;16.6564074756629
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;8;"mp2.5";11;31;100;11.2901017183034
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;9;"mp2.5";9.7;30;96.7741935483871;16.7846826734455
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;10;"mp2.5";7.29032258064516;31;100;12.4733121199627
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;11;"mp2.5";5.4;30;96.7741935483871;12.1509508001656
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;12;"mp2.5";6.06896551724138;29;93.5483870967742;11.7940020630903
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;1;"mp2.5";6.03225806451613;31;100;13.0238832570783
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;2;"mp2.5";6.78571428571429;28;90.3225806451613;13.2732067840459
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;3;"mp2.5";7;26;83.8709677419355;13.1117734710947
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;4;"mp2.5";9.73333333333333;30;96.7741935483871;17.2352813537094
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;5;"mp2.5";14.5806451612903;31;100;19.3435518637368
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;6;"mp2.5";13.7333333333333;30;96.7741935483871;20.7657650840931
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;7;"mp2.5";17.2903225806452;31;100;23.3941216150259
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;8;"mp2.5";13.4838709677419;31;100;13.9446345537259
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;9;"mp2.5";10.4;30;96.7741935483871;14.8682421772266
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;10;"mp2.5";11.6774193548387;31;100;11.1707688527536
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;11;"mp2.5";9.36666666666667;30;96.7741935483871;13.067828703805
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;12;"mp2.5";7.32258064516129;31;100;18.1387020355815
