CODIGO_COMUNA_RESIDENCIA,Year,Gender,Death_count_all_cause,Mean_age,Age group
2103,1992,Mujer,1,83.0,75+
2103,1993,Hombre,1,79.0,75+
2103,1995,Hombre,1,90.0,75+
2103,1995,Mujer,1,94.0,75+
2103,1996,Hombre,2,89.0,75+
2103,1998,Mujer,1,82.0,75+
2103,1999,Mujer,2,81.0,75+
2103,2001,Hombre,1,78.0,75+
2103,2001,Mujer,1,92.0,75+
2103,2006,Hombre,2,76.0,75+
2103,2007,Mujer,2,83.5,75+
2103,2008,Hombre,1,89.0,75+
2103,2008,Mujer,1,83.0,75+
2103,2010,Hombre,1,80.0,75+
2103,2011,Hombre,2,82.5,75+
2103,2011,Mujer,1,78.0,75+
2103,2012,Hombre,2,79.0,75+
2103,2013,Hombre,1,80.0,75+
2103,2013,Mujer,1,82.0,75+
2103,2016,Mujer,1,89.0,75+
2104,1990,Hombre,7,80.42857142857143,75+
2104,1990,Mujer,11,83.0909090909091,75+
2104,1991,Hombre,14,82.78571428571429,75+
2104,1991,Mujer,19,82.78947368421052,75+
2104,1992,Hombre,12,79.16666666666667,75+
2104,1992,Mujer,10,83.8,75+
2104,1993,Hombre,15,83.06666666666666,75+
2104,1993,Mujer,3,84.66666666666667,75+
2104,1994,Hombre,12,79.33333333333333,75+
2104,1994,Mujer,12,86.91666666666667,75+
2104,1995,Hombre,9,83.55555555555556,75+
2104,1995,Mujer,6,83.83333333333333,75+
2104,1996,Hombre,14,82.92857142857143,75+
2104,1996,Mujer,11,82.72727272727273,75+
2104,1997,Hombre,13,83.3076923076923,75+
2104,1997,Mujer,11,82.36363636363636,75+
2104,1998,Hombre,3,81.33333333333333,75+
2104,1998,Mujer,19,83.78947368421052,75+
2104,1999,Hombre,14,81.71428571428571,75+
2104,1999,Mujer,15,84.46666666666667,75+
2104,2000,Hombre,8,81.375,75+
2104,2000,Mujer,9,83.22222222222223,75+
2104,2001,Hombre,13,80.46153846153847,75+
2104,2001,Mujer,11,85.45454545454545,75+
2104,2002,Hombre,18,82.0,75+
2104,2002,Mujer,18,83.16666666666667,75+
2104,2003,Hombre,15,83.06666666666666,75+
2104,2003,Mujer,7,81.85714285714286,75+
2104,2004,Hombre,14,82.92857142857143,75+
2104,2004,Mujer,13,83.38461538461539,75+
2104,2005,Hombre,11,81.36363636363636,75+
2104,2005,Mujer,8,84.25,75+
2104,2006,Hombre,13,84.53846153846153,75+
2104,2006,Mujer,9,82.22222222222223,75+
2104,2007,Hombre,18,82.05555555555556,75+
2104,2007,Mujer,18,81.66666666666667,75+
2104,2008,Hombre,12,83.66666666666667,75+
2104,2008,Mujer,9,85.11111111111111,75+
2104,2009,Hombre,12,83.25,75+
2104,2009,Mujer,15,83.33333333333333,75+
2104,2010,Hombre,12,81.91666666666667,75+
2104,2010,Mujer,18,82.05555555555556,75+
2104,2011,Hombre,16,81.5625,75+
2104,2011,Mujer,14,82.85714285714286,75+
2104,2012,Hombre,26,81.65384615384616,75+
2104,2012,Mujer,19,85.6842105263158,75+
2104,2013,Hombre,15,84.06666666666666,75+
2104,2013,Mujer,11,85.63636363636364,75+
2104,2014,Hombre,16,82.125,75+
2104,2014,Mujer,13,85.07692307692308,75+
2104,2015,Hombre,24,82.91666666666667,75+
2104,2015,Mujer,20,84.85,75+
2104,2016,Hombre,16,82.8125,75+
2104,2016,Mujer,15,86.06666666666666,75+
2104,2017,Hombre,12,82.16666666666667,75+
2104,2017,Mujer,19,84.94736842105263,75+
2104,2018,Hombre,13,83.61538461538461,75+
2104,2018,Mujer,25,85.08,75+
2104,2019,Hombre,18,84.88888888888889,75+
2104,2019,Mujer,18,84.44444444444444,75+
2201,1990,Hombre,54,80.85185185185185,75+
2201,1990,Mujer,60,82.73333333333333,75+
2201,1991,Hombre,56,82.44642857142857,75+
2201,1991,Mujer,61,83.49180327868852,75+
2201,1992,Hombre,46,82.15217391304348,75+
2201,1992,Mujer,57,83.17543859649123,75+
2201,1993,Hombre,56,82.875,75+
2201,1993,Mujer,57,82.0,75+
2201,1994,Hombre,58,82.44827586206897,75+
2201,1994,Mujer,68,84.61764705882354,75+
2201,1995,Hombre,63,81.93650793650794,75+
2201,1995,Mujer,69,83.98550724637681,75+
2201,1996,Hombre,61,81.44262295081967,75+
2201,1996,Mujer,77,83.92207792207792,75+
2201,1997,Hombre,64,82.234375,75+
2201,1997,Mujer,74,84.52702702702703,75+
2201,1998,Hombre,78,81.61538461538461,75+
2201,1998,Mujer,75,84.10666666666667,75+
2201,1999,Hombre,69,82.69565217391305,75+
2201,1999,Mujer,78,83.51282051282051,75+
2201,2000,Hombre,80,81.625,75+
2201,2000,Mujer,101,84.02970297029702,75+
2201,2001,Hombre,74,81.35135135135135,75+
2201,2001,Mujer,89,82.6067415730337,75+
2201,2002,Hombre,80,80.8,75+
2201,2002,Mujer,92,82.8586956521739,75+
2201,2003,Hombre,90,82.21111111111111,75+
2201,2003,Mujer,85,85.11764705882354,75+
2201,2004,Hombre,86,81.34883720930233,75+
2201,2004,Mujer,89,83.92134831460675,75+
2201,2005,Hombre,90,82.15555555555555,75+
2201,2005,Mujer,90,85.32222222222222,75+
2201,2006,Hombre,89,81.33707865168539,75+
2201,2006,Mujer,105,84.42857142857143,75+
2201,2007,Hombre,92,83.3695652173913,75+
2201,2007,Mujer,93,84.0752688172043,75+
2201,2008,Hombre,118,82.66949152542372,75+
2201,2008,Mujer,115,84.2695652173913,75+
2201,2009,Hombre,112,83.07142857142857,75+
